conversation,creationDate,id,invitedOperator
673,1996-01-25,267,535
65,1996-07-31,654,490
736,1994-10-30,837,851
457,1973-10-07,518,579
586,2022-07-17,68,834
475,1971-07-30,785,194
183,2001-07-28,830,855
928,1984-12-29,176,812
46,2005-06-28,19,380
505,2018-07-18,737,820
380,2008-10-24,591,348
571,1993-02-24,145,185
617,1979-08-16,6,576
955,2013-05-10,615,136
943,1982-01-23,829,34
381,2023-06-16,359,447
200,1975-01-18,354,593
356,1972-10-24,24,847
467,1977-02-11,776,906
582,1994-08-22,994,492
515,1975-04-29,587,959
359,2010-12-14,88,83
460,2008-04-17,571,615
671,2010-05-08,62,383
755,1972-03-29,544,218
97,2000-10-31,303,658
529,2008-04-09,34,759
210,2012-10-09,38,724
628,2023-02-03,626,108
844,2020-01-16,646,602
10,1975-07-09,905,177
998,1986-01-29,272,141
690,2014-09-03,980,89
9,1974-04-05,193,852
737,1975-04-23,106,279
960,1977-12-13,78,248
679,2002-11-14,515,921
227,1996-09-05,46,828
276,1973-08-24,806,52
625,2023-05-23,26,374
666,1973-12-16,854,803
34,1994-08-14,963,142
679,1983-01-19,874,765
414,1977-01-27,784,545
247,2019-03-23,14,298
12,2021-02-02,618,337
757,2022-12-21,618,698
817,2010-06-10,391,548
604,2009-11-23,734,851
788,1970-06-04,655,990
766,1980-09-13,543,325
523,1998-11-13,246,557
464,2003-01-05,322,180
109,1979-05-17,151,768
168,1974-09-02,267,128
261,1986-05-28,105,868
109,1977-05-06,170,212
22,2009-08-04,201,428
970,1989-06-10,618,538
816,2021-03-12,636,836
294,2012-10-03,567,8
679,1994-11-24,159,897
267,1982-08-22,738,473
355,1988-09-20,694,951
385,1971-04-12,731,402
369,2001-04-19,949,224
558,2008-01-30,923,784
788,2023-08-17,462,909
692,1983-11-07,67,307
976,1989-12-21,535,163
999,1974-09-06,974,25
164,1986-08-02,823,429
234,2007-11-27,103,17
691,2004-05-16,302,993
389,1995-04-11,424,258
774,2004-06-20,550,376
733,1995-07-09,936,96
256,1976-05-13,90,103
705,1987-08-01,623,658
263,2021-06-10,369,868
892,2005-03-20,151,195
3,2021-11-07,151,254
396,1976-02-14,778,676
46,1980-12-24,609,997
926,1993-09-01,595,722
384,2001-01-27,307,922
979,1999-09-17,635,362
372,2008-03-17,895,580
260,1984-09-06,378,277
883,2023-07-31,44,888
885,1999-07-18,615,473
692,1997-11-13,913,139
697,1971-02-25,213,926
21,1998-03-31,606,822
386,1993-11-04,339,986
826,2002-01-10,933,798
531,1998-01-24,567,994
176,2020-09-11,409,333
245,2013-11-04,167,181
478,1981-02-13,852,681
538,1988-03-30,117,599
656,1974-07-02,982,593
937,2014-08-06,486,455
896,1982-12-29,166,295
63,1971-01-23,286,669
515,2021-11-07,193,261
222,1989-05-05,554,116
196,1983-01-02,755,440
565,2022-11-07,843,752
368,2014-04-19,278,178
35,1979-02-16,555,859
783,1979-11-07,822,680
1,2015-01-02,62,962
123,1994-12-14,656,784
916,2013-10-26,224,688
943,2007-11-27,802,222
76,1989-05-28,822,444
189,2001-12-21,187,674
901,2012-01-30,242,556
597,1985-09-23,64,360
799,1989-03-04,343,565
951,1985-01-15,432,277
979,2001-10-31,847,941
621,2004-08-22,813,354
637,1973-04-28,341,72
839,2010-08-10,384,496
88,2018-08-05,171,75
674,1970-11-16,856,583
11,1975-08-27,49,584
479,2006-03-16,494,364
494,1977-02-06,367,687
229,1995-12-02,744,6
553,2014-08-23,681,590
484,2012-11-01,800,68
306,2004-03-13,741,749
158,1993-05-23,241,597
8,1986-10-19,930,264
379,2014-11-30,366,612
977,1993-03-28,400,242
432,1990-06-02,30,671
389,2007-04-09,928,970
580,2020-02-13,279,820
405,1974-08-17,191,357
80,2001-01-07,454,896
779,2020-03-07,139,136
73,2016-02-20,433,68
287,2022-06-30,889,224
453,2010-04-18,74,405
131,1971-03-25,514,360
783,2023-02-26,985,808
93,2013-05-05,153,375
384,1974-03-19,20,912
95,2023-05-11,707,843
499,2009-06-11,109,293
292,1979-07-20,194,270
315,2017-01-29,80,257
681,1980-12-20,663,331
740,1985-10-04,288,144
997,2009-08-19,827,269
509,1992-04-06,45,645
751,1984-05-24,633,389
670,2000-07-02,836,813
299,2022-05-08,322,398
634,1970-09-20,979,721
432,1978-06-16,710,31
531,1991-08-19,552,60
729,2011-12-02,59,996
958,2007-06-09,357,430
247,1996-09-13,380,890
546,2000-12-18,498,676
599,2005-07-03,185,165
322,2000-07-14,688,565
813,2010-05-29,254,927
635,2009-01-22,877,35
781,1974-05-27,170,575
499,1991-03-07,392,827
258,2017-03-13,910,972
560,2011-07-02,131,610
93,2012-08-12,350,821
361,1975-09-13,736,253
619,2011-01-28,184,527
444,1972-09-22,178,372
83,1983-07-26,863,242
980,2010-02-07,450,691
371,2009-06-29,564,144
950,2012-06-22,42,605
751,2001-03-24,33,723
792,1977-08-28,713,935
646,1983-06-12,930,618
701,1975-10-20,811,22
768,1976-05-20,186,416
376,1997-10-12,757,342
128,1983-12-23,438,329
452,1979-07-17,650,95
642,1994-10-05,921,121
645,2021-03-26,597,692
912,1992-12-15,668,339
478,2003-04-01,756,74
623,2004-10-21,297,908
751,2016-02-14,613,787
